Review date	Link	Part of train set	Manufacturer 	Gauge	Operator	Class 	Livery	Detail	Performance	Power (coaches)	Mechanism	Quality	Value	Score
2021-09.29	https://www.youtube.com/watch?v=nqwNAYjp9is	FALSE	Hornby	OO	Malcolm Logistics	66	Malcolm Logistics	1.5	3.5	28	2	2	4	5.23
2021-12-15	https://www.youtube.com/watch?v=MWKGmVh7rV0	FALSE	Hornby	OO	LNER	W1	LNER Grey	5	2	22	4	2	2	6.08
2021-12-04	https://www.youtube.com/watch?v=a8s2YEg98n8	FALSE	Bachmann	OO	SR	H2	Southern Green	4	3.5	24	2.5	4	3.5	7.47
2021-12-01	https://www.youtube.com/watch?v=ABsKiQK-xEM	FALSE	Dapol	OO	BR	5101	BR Green	4.5	2	22	4	5	5	8.53
2021-11-24	https://www.youtube.com/watch?v=dfbuyor3Xgc	FALSE	Murphy Models	OO	CIE	121	CIE Orange and Black	5	5	33	5	2.5	3.5	8.30
2021-11-10	https://www.youtube.com/watch?v=wBxUzILHk24	FALSE	Bachmann	OO	BR	3MT	BR Black	5	3	25	1	3	3	6.65
2021-11-06	https://www.youtube.com/watch?v=-xfu7S7y1eU	FALSE	Sam'sTrains	OO	Cadbury Cake	Manning Wardle L Class	Unknown	2.5	4	7	4	1.5	4	5.80
2021-11-03	https://www.youtube.com/watch?v=XTL1JWIqHEk	FALSE	Hornby	OO	LNER	D16	LNER Green	4	2.5	15	4	4.5	4	7.88
2021-10-27	https://www.youtube.com/watch?v=DVF59GjEjPE	FALSE	Bachmann	OO	BR	V3	BR Black	2	5	26	4.5	3	3.5	7.28
2021-10-20	https://www.youtube.com/watch?v=dNWuCLHilvk	FALSE	Oxford Rail	OO	BR	N7	BR Black	4.5	2.5	27	3	3	5	7.73
2021-10-02	https://www.youtube.com/watch?v=ZNgOVuVNn90	FALSE	Bachmann	HO	Southern Railway (US)	ALCO Mogul	Southern Railway (US)	2.5	3	16	3	3.5	5	6.75
2021-09-21	https://www.youtube.com/watch?v=MkteYcZu58w	FALSE	Bachmann	OO	LMS	4P Compound	LMS Lined Crimson	5	3	21	2	3.5	2	6.67
2021-09-18	https://www.youtube.com/watch?v=XUdyYho1uDU	FALSE	Bachmann	OO	GWR	3200	GWR Green	4.5	4	12	3	4.5	4	7.74
2021-09-08	https://www.youtube.com/watch?v=na-ZrhFeER8	FALSE	Hornby	OO	LMS	8F	LMS Black	2.5	4	24	4	4	3.5	7.10
2021-09-01	https://www.youtube.com/watch?v=jOq03dbxomA	TRUE	Hornby	OO	Satellite	Bagnall shunter	Satellite	2	2.5	11	3	4	5	6.53
2021-08-25	https://www.youtube.com/watch?v=2tc17abk4jk	FALSE	Heljan	OO	BR	GWR Railcar	BR Crimson and Cream	4	4	27	3	4	3	7.79
2021-08-21	https://www.youtube.com/watch?v=dMRzNkvX-lI	FALSE	EFE	OO	SR	O2	Southern Green	3	3	13	3	3	2	5.80
2021-08-11	https://www.youtube.com/watch?v=nk0f774PeUA	FALSE	Bachmann	HO	Southern Railway (US)	EMD E7	Southern Railway (US)	3	4	57	3	4	5	7.89
2021-08-04	https://www.youtube.com/watch?v=OSEGQ9rq-XM	FALSE	Bachmann	OO	BR	24	BR Green	4	5	36	5	4	3	8.37
2021-07-31	https://www.youtube.com/watch?v=tCdwTvrjlcA	FALSE	Bachmann	OO	BR	Jubilee	BR Black	5	4	19	2	3	3	7.03
2021-07-28	https://www.youtube.com/watch?v=xdYtOs8g5WY	FALSE	Hornby Railroad	OO	LNER	A4	LNER Blue	2	2	30	3	4	4	6.36
2021-07-24	https://www.youtube.com/watch?v=6WKwWaJYiB4	FALSE	Bachmann	OO	BR	416	BR Green	2.5	5	16	4	4	2	6.63
2021-06-02	https://www.youtube.com/watch?v=w4EOv4RhnB0	FALSE	Heljan	OO	BR	17	BR Blue	3	3	25	2	2	4	5.80
